stem,width,height,blur_var,descartada,reason
anonymous_003-007-950-00_1730792603619_Frontal_View,1981.0,1113.0,84.75654606235295,False,
anonymous_003-008-1052-00_1731329608354_Frontal_View,1048.0,588.0,57.00045924444517,False,
anonymous_003-008-1188-00_1732714947165_Frontal_View,1259.0,707.0,145.76058599716154,False,
anonymous_003-008-977-00_1730895561784_Frontal_View,941.0,528.0,48.781539179341024,False,
anonymous_003-007-673-00_1729239709286_Frontal_View,1317.0,740.0,288.7609972914639,False,
anonymous_003-008-1134-00_1732531184012_Frontal_View,1097.0,616.0,48.06210486739989,False,
anonymous_003-007-1214-00_1732862917124_Frontal_View,1583.0,889.0,28.99798761285907,False,
anonymous_003-007-848-00_1730185308013_Frontal_View,1296.0,728.0,37.758271364015556,False,
anonymous_003-008-1140-00_1732538036389_Frontal_View,1061.0,596.0,184.06274203607933,False,
anonymous_003-008-621-00_1729084830092_Frontal_View,1037.0,582.0,56.56262229638846,False,
anonymous_003_007_423_00_1728457856133_Frontal_View,1588.0,892.0,34.88642364231978,False,
anonymous_003-008-816-00_1729939059509_Frontal_View,1024.0,575.0,48.81561961136583,False,
anonymous_003-007-870-00_1730264018655_Frontal_View,1585.0,890.0,28.006917398150296,False,
anonymous_003-008-625-00_1729089968039_Frontal_View,928.0,521.0,50.32762901375545,False,
anonymous_003_103_310_00_1727879635589_Frontal_View,1287.0,965.0,38.63717686924767,False,
anonymous_003-008-563-00_1728904641646_Frontal_View,1202.0,675.0,45.54974302086679,False,
anonymous_003_103_348_00_1728038053517_Left_Lateral_View,1132.0,848.0,49.558331859560504,False,
anonymous_003-007-628-00_1729139603004_Left_Lateral_View,1640.0,1093.0,26.997029870728056,False,
anonymous_003-007-642-00_1729154783455_Left_Lateral_View,1434.0,956.0,13.034481640186252,False,
anonymous_003_007_509_00_1728715858343_Left_Lateral_View,1414.0,942.0,17.458628631907835,False,
anonymous_003_008_518_00_1728730492892_Left_Lateral_View,1121.0,629.0,92.04223021318604,False,
anonymous_003_007_512_00_1728719966330_Left_Lateral_View,1374.0,1374.0,101.02637254373495,False,
anonymous_003_007_393_00_1728363083249_Left_Lateral_View,1422.0,1066.0,86.93291429497783,False,
anonymous_003-007-611-00_1729064406517_Left_Lateral_View,1185.0,1185.0,9.303630057631084,False,
anonymous_003_103_385_00_1728194367190_Left_Lateral_View,1297.0,972.0,57.50932448234672,False,
anonymous_003-008-625-00_1729089968039_Left_Lateral_View,1419.0,797.0,28.801443492510625,False,
anonymous_003_007_477_00_1728636023690_Left_Lateral_View,919.0,516.0,44.300762737644874,False,
anonymous_003-007-673-00_1729239709286_Left_Lateral_View,1508.0,1508.0,13.548576019733,False,
anonymous_003-007-987-00_1730958766991_Left_Lateral_View,1266.0,1266.0,16.660084179505848,False,
anonymous_003-008-621-00_1729084830092_Left_Lateral_View,1246.0,700.0,42.35676631704767,False,
anonymous_003-008-619-00_1729080900725_Left_Lateral_View,1041.0,585.0,72.10925372301881,False,
