particion_original,split_nuevo,archivo,linea,valores_originales,tipo_error
train,train,no_retractors_Frontal_anonymous_003-007-1214-00_1732862917124_Frontal_View.txt,1,0 0.201286 1.298267 0.285706 0.596533,yc_fuera_de_rango
train,train,no_retractors_Frontal_anonymous_003-008-1188-00_1732714947165_Frontal_View.txt,1,0 0.165401 1.012410 0.235020 0.024820,yc_fuera_de_rango
train,train,no_retractors_Frontal_anonymous_003-008-1188-00_1732714947165_Frontal_View.txt,2,0 0.995074 1.184854 0.009852 0.369708,yc_fuera_de_rango
train,train,no_retractors_Frontal_anonymous_003-008-1188-00_1732714947165_Frontal_View.txt,3,0 0.180634 1.155790 0.228492 0.311581,yc_fuera_de_rango
train,train,no_retractors_Frontal_anonymous_003-008-1188-00_1732714947165_Frontal_View.txt,4,0 0.993442 1.036630 0.013117 0.073260,yc_fuera_de_rango
train,train,no_retractors_Left_Lateral_anonymous_003-008-1188-00_1732714947165_Left_Lateral_View.txt,1,0 0.232151 1.218798 0.329867 0.437595,yc_fuera_de_rango
train,train,no_retractors_Left_Lateral_anonymous_003-008-1188-00_1732714947165_Left_Lateral_View.txt,2,0 1.194870 1.460698 0.389739 0.921396,xc_fuera_de_rango
train,train,no_retractors_Left_Lateral_anonymous_003-008-1188-00_1732714947165_Left_Lateral_View.txt,3,0 0.253532 1.419928 0.320704 0.839856,yc_fuera_de_rango
train,train,no_retractors_Left_Lateral_anonymous_003-008-1188-00_1732714947165_Left_Lateral_View.txt,4,0 1.192579 1.252772 0.385158 0.505545,xc_fuera_de_rango
train,train,no_retractors_Left_Lateral_anonymous_003-008-1188-00_1732714947165_Left_Lateral_View.txt,5,0 1.181889 1.096488 0.363777 0.192977,xc_fuera_de_rango
train,val,pilot_Mandibular_anonymous-mandibularView-1726833340723.txt,3,0 0.105408 0.532988 0.210817 0.134225,caja_excede_borde_izquierdo
train,train,retractors_Frontal_anonymous_003-007-1209-01_1732857661861_Frontal_View.txt,1,0 0.065287 1.242726 0.030311 0.485451,yc_fuera_de_rango
train,train,retractors_Left_Lateral_anonymous_003-008-1187-01_1732714576631_Left_Lateral_View.txt,1,0 1.066034 0.409541 0.132068 0.366957,xc_fuera_de_rango
train,train,retractors_Left_Lateral_anonymous_003-008-1187-01_1732714576631_Left_Lateral_View.txt,2,0 1.032507 0.743429 0.065013 0.360556,xc_fuera_de_rango
train,test,retractors_Mandibular_anonymous_003_007_317_01_1727937040565_Mandibular_View.txt,1,0 0.071971 0.401568 0.143943 0.269985,caja_excede_borde_izquierdo
train,train,retractors_Right_Lateral_anonymous_003-007-1213-01_1732862150627_Right_Lateral_View.txt,1,0 0.248546 1.053556 0.352787 0.107112,yc_fuera_de_rango
train,train,retractors_Right_Lateral_anonymous_003-008-1187-01_1732714576631_Right_Lateral_View.txt,1,0 0.206792 1.140060 0.293834 0.280120,yc_fuera_de_rango
train,train,retractors_Right_Lateral_anonymous_003-008-1187-01_1732714576631_Right_Lateral_View.txt,2,0 1.118965 1.355463 0.237930 0.710925,xc_fuera_de_rango
train,train,retractors_Right_Lateral_anonymous_003-008-1187-01_1732714576631_Right_Lateral_View.txt,3,0 0.225837 1.319159 0.285672 0.638317,yc_fuera_de_rango
train,train,retractors_Right_Lateral_anonymous_003-008-1187-01_1732714576631_Right_Lateral_View.txt,4,0 1.116925 1.170313 0.233849 0.340626,xc_fuera_de_rango
train,train,retractors_Right_Lateral_anonymous_003-008-1187-01_1732714576631_Right_Lateral_View.txt,5,0 1.107402 1.031149 0.214805 0.062297,xc_fuera_de_rango
val,train,no_retractors_Right_Lateral_anonymous_003-008-1140-00_1732538036389_Right_Lateral_View.txt,1,0 1.004264 0.364680 0.008529 0.326760,xc_fuera_de_rango
val,train,no_retractors_Right_Lateral_anonymous_003-008-1188-00_1732714947165_Right_Lateral_View.txt,1,0 0.189981 1.163897 0.304681 0.327795,yc_fuera_de_rango
val,train,no_retractors_Right_Lateral_anonymous_003-008-1188-00_1732714947165_Right_Lateral_View.txt,2,0 0.206158 1.360786 0.291199 0.721571,yc_fuera_de_rango
val,train,no_retractors_Right_Lateral_anonymous_003-008-1188-00_1732714947165_Right_Lateral_View.txt,3,0 1.120767 0.974212 0.241534 0.051575,xc_fuera_de_rango
val,train,no_retractors_Right_Lateral_anonymous_003-008-1188-00_1732714947165_Right_Lateral_View.txt,4,0 1.131552 1.114675 0.263104 0.229351,xc_fuera_de_rango
val,train,no_retractors_Right_Lateral_anonymous_003-008-1188-00_1732714947165_Right_Lateral_View.txt,5,0 1.138967 1.301959 0.277934 0.603919,xc_fuera_de_rango
