view,path,stem,width,height,blur_var,legible
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0295.jpg,LF 0295,1280,550,102.41491169026831,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0144.jpg,LF 0144,1280,550,140.32249497675622,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0584.jpg,LF 0584,1280,550,33.32213208112531,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0274.jpg,LF 0274,1280,550,106.84926477837679,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0592.jpg,LF 0592,1280,550,22.2095766068892,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0463.jpg,LF 0463,1280,550,14.66914250249992,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0674.jpg,LF 0674,1280,550,53.193363761006516,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0551.jpg,LF 0551,1280,550,53.00584546243665,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0782.jpg,LF 0782,1280,550,38.10566903363694,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0783.jpg,LF 0783,1280,550,285.4861412031071,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0051.jpg,LF 0051,1280,550,15.511634550779235,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0033.jpg,LF 0033,1280,550,46.77941411257101,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0260.jpg,LF 0260,1280,550,242.87136195586706,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0469.jpg,LF 0469,1280,550,97.41414488374869,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0038.jpg,LF 0038,1280,550,82.37746731133576,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0024.jpg,LF 0024,1280,550,334.93335260588026,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0370.jpg,LF 0370,1280,550,5.770705867346898,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0453.jpg,LF 0453,1280,550,8.05061925568182,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0149.jpg,LF 0149,1280,550,20.2437835428719,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0408.jpg,LF 0408,1280,550,9.339973003355416,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0667.jpg,LF 0667,1280,550,43.997780808077245,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0646.jpg,LF 0646,1280,550,7.845503683849999,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0445.jpg,LF 0445,1280,550,4.333197243801654,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0049.jpg,LF 0049,1280,550,3.629960758127261,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0821.jpg,LF 0821,1280,550,9.997186074700977,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0043.jpg,LF 0043,1280,550,150.5699628510279,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0125.jpg,LF 0125,1280,550,6.819181821014657,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0187.jpg,LF 0187,1280,550,390.86487377484997,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0422.jpg,LF 0422,1280,550,326.6659218445247,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0357.jpg,LF 0357,1280,550,2.4556122084012624,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0014.jpg,LF 0014,1280,550,16.53288842894499,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0714.jpg,LF 0714,1280,550,4.808868793380359,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0896.jpg,LF 0896,1280,550,13.611454393974373,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0778.jpg,LF 0778,1280,550,6.012990960542035,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0302.jpg,LF 0302,1280,550,8.131789391333212,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0242.jpg,LF 0242,1280,550,5.815997154821474,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0697.jpg,LF 0697,1280,550,5.439265442195168,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0523.jpg,LF 0523,1280,550,8.77175281281476,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0894.jpg,LF 0894,1280,550,8.45903424254059,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0649.jpg,LF 0649,1280,550,15.206137784040461,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0078.jpg,LF 0078,1280,550,10.68789488280443,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0390.jpg,LF 0390,1280,550,3.0996078570486016,True
