archivo,grupo,split_original
c_Frontal_anonymous_003-008-562-01_1728904090342_Frontal_View_jpg.rf.ZKgz1n2YCrRkjFE4hp4A.jpg,003-008-562-01,train
c_Frontal_anonymous_003-008-562-01_1728904090342_Frontal_View_jpg.rf.ZKgz1n2YCrRkjFE4hp4A_aug723.jpg,003-008-562-01,train
c_Frontal_anonymous_003-008-562-01_1728904090342_Frontal_View_jpg.rf.ZKgz1n2YCrRkjFE4hp4A_aug724.jpg,003-008-562-01,train
c_Mandibular_anonymous_003-007-1254-01_1733114052105_Mandibular_View_jpg.rf.pbp6NYeaHbnA8NUYLFSg_aug212.jpg,003-007-1254-01,train
c_Mandibular_anonymous_003-007-1254-01_1733114052105_Mandibular_View_jpg.rf.pbp6NYeaHbnA8NUYLFSg_aug213.jpg,003-007-1254-01,train
c_Mandibular_anonymous_003-007-1254-01_1733114052105_Mandibular_View_jpg.rf.pbp6NYeaHbnA8NUYLFSg_aug214.jpg,003-007-1254-01,train
c_Mandibular_anonymous_003-007-629-01_1729140899689_Mandibular_View_jpg.rf.dhvA2Cf9j25hN8Okxq6F_aug184.jpg,003-007-629-01,train
c_Mandibular_anonymous_003-007-629-01_1729140899689_Mandibular_View_jpg.rf.dhvA2Cf9j25hN8Okxq6F_aug185.jpg,003-007-629-01,train
c_Mandibular_anonymous_003-007-629-01_1729140899689_Mandibular_View_jpg.rf.dhvA2Cf9j25hN8Okxq6F_aug186.jpg,003-007-629-01,train
c_Mandibular_anonymous_003-007-672-01_1729239360521_Mandibular_View_jpg.rf.NE2Gbu0FAlrIbEo3EMsW_aug223.jpg,003-007-672-01,train
c_Mandibular_anonymous_003-007-672-01_1729239360521_Mandibular_View_jpg.rf.NE2Gbu0FAlrIbEo3EMsW_aug224.jpg,003-007-672-01,train
c_Mandibular_anonymous_003-007-676-01_1729246273597_Mandibular_View_jpg.rf.sO3dNUYy7u8kvy11zpSj_aug170.jpg,003-007-676-01,train
c_Mandibular_anonymous_003-007-676-01_1729246273597_Mandibular_View_jpg.rf.sO3dNUYy7u8kvy11zpSj_aug171.jpg,003-007-676-01,train
c_Mandibular_anonymous_003-007-845-01_1730180726544_Mandibular_View_jpg.rf.LIeKpUAOFTnqsCXFkUXH_aug141.jpg,003-007-845-01,train
c_Mandibular_anonymous_003-007-845-01_1730180726544_Mandibular_View_jpg.rf.LIeKpUAOFTnqsCXFkUXH_aug142.jpg,003-007-845-01,train
c_Mandibular_anonymous_003-007-845-01_1730180726544_Mandibular_View_jpg.rf.LIeKpUAOFTnqsCXFkUXH_aug143.jpg,003-007-845-01,train
c_Mandibular_anonymous_003-007-867-01_1730261098640_Mandibular_View_jpg.rf.6zfU8EqxBWeOF6QYBESv_aug318.jpg,003-007-867-01,train
c_Mandibular_anonymous_003-007-867-01_1730261098640_Mandibular_View_jpg.rf.6zfU8EqxBWeOF6QYBESv_aug319.jpg,003-007-867-01,train
c_Mandibular_anonymous_003-007-896-01_1730347046750_Mandibular_View_jpg.rf.Adjuxj8w2F7FPi4rfJqG_aug042.jpg,003-007-896-01,train
c_Mandibular_anonymous_003-007-896-01_1730347046750_Mandibular_View_jpg.rf.Adjuxj8w2F7FPi4rfJqG_aug043.jpg,003-007-896-01,train
c_Mandibular_anonymous_003-007-896-01_1730347046750_Mandibular_View_jpg.rf.Adjuxj8w2F7FPi4rfJqG_aug044.jpg,003-007-896-01,train
c_Mandibular_anonymous_003-007-898-01_1730349798023_Mandibular_View_jpg.rf.NaXZgWXpP7AS4L3gfBzs.jpg,003-007-898-01,train
c_Mandibular_anonymous_003-007-898-01_1730349798023_Mandibular_View_jpg.rf.NaXZgWXpP7AS4L3gfBzs_aug1088.jpg,003-007-898-01,train
c_Mandibular_anonymous_003-007-898-01_1730349798023_Mandibular_View_jpg.rf.NaXZgWXpP7AS4L3gfBzs_aug1089.jpg,003-007-898-01,train
c_Mandibular_anonymous_003-007-898-01_1730349798023_Mandibular_View_jpg.rf.NaXZgWXpP7AS4L3gfBzs_aug1090.jpg,003-007-898-01,train
c_Mandibular_anonymous_003-008-1322-01_1733477951014_Mandibular_View_jpg.rf.iKWjammPwoteMvHHF3BJ.jpg,003-008-1322-01,train
c_Mandibular_anonymous_003-008-1322-01_1733477951014_Mandibular_View_jpg.rf.iKWjammPwoteMvHHF3BJ_aug578.jpg,003-008-1322-01,train
c_Mandibular_anonymous_003-008-1322-01_1733477951014_Mandibular_View_jpg.rf.iKWjammPwoteMvHHF3BJ_aug579.jpg,003-008-1322-01,train
c_Mandibular_anonymous_003-008-562-01_1728904090342_Mandibular_View_jpg.rf.zOvtx6sXUML9r15TRm4j.jpg,003-008-562-01,train
c_Mandibular_anonymous_003-008-562-01_1728904090342_Mandibular_View_jpg.rf.zOvtx6sXUML9r15TRm4j_aug1202.jpg,003-008-562-01,train
c_Mandibular_anonymous_003-008-562-01_1728904090342_Mandibular_View_jpg.rf.zOvtx6sXUML9r15TRm4j_aug1203.jpg,003-008-562-01,train
c_Mandibular_anonymous_003-008-730-01_1729520092178_Mandibular_View_jpg.rf.ZUqBuVxOzzzTH8j5zOJy.jpg,003-008-730-01,train
c_Mandibular_anonymous_003-008-730-01_1729520092178_Mandibular_View_jpg.rf.ZUqBuVxOzzzTH8j5zOJy_aug768.jpg,003-008-730-01,train
c_Mandibular_anonymous_003-008-730-01_1729520092178_Mandibular_View_jpg.rf.ZUqBuVxOzzzTH8j5zOJy_aug769.jpg,003-008-730-01,train
c_Mandibular_anonymous_003-008-730-01_1729520092178_Mandibular_View_jpg.rf.ZUqBuVxOzzzTH8j5zOJy_aug770.jpg,003-008-730-01,train
c_Mandibular_anonymous_003_007_475_01_1728635243973_Mandibular_View_jpg.rf.PT3xCKLV5zeAFaLbcDdj.jpg,003-007-475-01,train
c_Mandibular_anonymous_003_007_475_01_1728635243973_Mandibular_View_jpg.rf.PT3xCKLV5zeAFaLbcDdj_aug786.jpg,003-007-475-01,train
c_Mandibular_anonymous_003_007_475_01_1728635243973_Mandibular_View_jpg.rf.PT3xCKLV5zeAFaLbcDdj_aug787.jpg,003-007-475-01,train
c_Mandibular_anonymous_003_007_475_01_1728635243973_Mandibular_View_jpg.rf.PT3xCKLV5zeAFaLbcDdj_aug788.jpg,003-007-475-01,train
