tau,delta,exactitud,cobertura,media_armonica,correctas,incorrectas,sin_asociar,ambiguas
0.1,0.02,0.9736842105263158,0.95,0.9616963064295485,37,1,1,1
0.1,0.04,0.9736842105263158,0.95,0.9616963064295485,37,1,1,1
0.1,0.06,0.9736842105263158,0.95,0.9616963064295485,37,1,1,1
0.1,0.08,1.0,0.925,0.961038961038961,37,0,1,2
0.1,0.1,1.0,0.925,0.961038961038961,37,0,1,2
0.1,0.12,1.0,0.925,0.961038961038961,37,0,1,2
0.1,0.14,1.0,0.925,0.961038961038961,37,0,1,2
0.1,0.16,1.0,0.925,0.961038961038961,37,0,1,2
0.1,0.18,1.0,0.925,0.961038961038961,37,0,1,2
0.1,0.2,1.0,0.925,0.961038961038961,37,0,1,2
0.15,0.02,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.04,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.06,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.08,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.1,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.12,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.14,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.16,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.18,1.0,0.925,0.961038961038961,37,0,2,1
0.15,0.2,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.02,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.04,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.06,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.08,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.1,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.12,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.14,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.16,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.18,1.0,0.925,0.961038961038961,37,0,2,1
0.2,0.2,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.02,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.04,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.06,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.08,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.1,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.12,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.14,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.16,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.18,1.0,0.925,0.961038961038961,37,0,2,1
0.25,0.2,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.02,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.04,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.06,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.08,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.1,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.12,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.14,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.16,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.18,1.0,0.925,0.961038961038961,37,0,2,1
0.3,0.2,1.0,0.925,0.961038961038961,37,0,2,1
0.35,0.02,1.0,0.925,0.961038961038961,37,0,2,1
0.35,0.04,1.0,0.925,0.961038961038961,37,0,2,1
0.35,0.06,1.0,0.925,0.961038961038961,37,0,2,1
0.35,0.08,1.0,0.925,0.961038961038961,37,0,2,1
