imagen,caja_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,conf_deteccion,n_instancias_candidatas,instancia_correcta_revisor1,instancia_correcta_revisor2,consenso
healthy_Upper_Right_UR 0744.jpg,0,50.185577,400.6617,225.47101,550.0,0.29468095302581787,12,4,4,4
no_retractors_Left_Lateral_anonymous_003-007-810-00_1729925219683_Left_Lateral_View.jpg,0,723.89343,331.97134,922.5986,476.88074,0.8757927417755127,18,0,0,0
no_retractors_Left_Lateral_anonymous_003_103_412_00_1728381408086_Left_Lateral_View.jpg,0,730.0476,379.97385,940.4476,495.4554,0.8632845878601074,16,ninguna,ninguna,ninguna
no_retractors_Mandibular_anonymous_003-007-1037-00_1731303473745_Mandibular_View.jpg,0,74.70062,371.20514,474.78732,754.3945,0.9127699732780457,13,4,4,4
no_retractors_Mandibular_anonymous_003-007-1037-00_1731303473745_Mandibular_View.jpg,1,213.32666,665.58356,590.792,1032.8209,0.8998161554336548,13,3,3,3
no_retractors_Mandibular_anonymous_003-007-1037-00_1731303473745_Mandibular_View.jpg,2,1616.616,943.4591,1917.9657,1314.4204,0.8528361320495605,13,11,11,11
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,0,1871.5045,404.83124,2272.8577,793.6298,0.9234862327575684,14,4,4,4
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,1,242.73596,487.15668,628.2141,862.69196,0.9104270339012146,14,2,2,2
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,2,1899.6157,759.84326,2229.4465,1031.0254,0.9020770192146301,14,1,1,1
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,3,1934.775,63.040894,2296.627,427.87717,0.8969110250473022,14,11,11,11
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,0,1680.3962,452.9348,2053.898,796.9488,0.9081112742424011,15,1,1,1
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,1,1758.7596,158.46602,2100.0671,475.77264,0.7627899050712585,15,4,4,4
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,2,1652.9762,756.5434,1951.5154,1023.9714,0.6862248778343201,15,0,0,0
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,3,153.82008,566.91125,527.9612,940.4775,0.433056116104126,15,2,2,2
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,0,70.70546,472.7769,460.9641,827.2717,0.9276842474937439,14,2,2,2
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,1,1647.1049,376.05145,2071.3496,780.8534,0.9219828248023987,14,4,4,4
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,2,27.914192,152.53912,407.15793,534.10925,0.9111247658729553,14,7,7,7
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,3,1700.3484,52.26328,2109.2693,399.5856,0.8055455088615417,14,13,13,13
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,4,1570.1537,697.4002,1898.7556,975.3215,0.38031473755836487,14,1,1,1
no_retractors_Mandibular_anonymous_003-007-1098-00_1732258945547_Mandibular_View.jpg,0,50.699604,362.67526,344.39017,637.9465,0.8924028277397156,14,1,1,1
no_retractors_Mandibular_anonymous_003-007-1098-00_1732258945547_Mandibular_View.jpg,1,1339.9653,319.87466,1643.0,612.7204,0.8638954758644104,14,2,2,2
no_retractors_Mandibular_anonymous_003-007-1098-00_1732258945547_Mandibular_View.jpg,2,2.3068883,175.1992,276.05988,409.62668,0.6853718757629395,14,13,13,13
no_retractors_Mandibular_anonymous_003-007-1147-00_1732601448785_Mandibular_View.jpg,0,41.569805,109.583,396.8,413.714,0.9289354681968689,18,9,9,9
no_retractors_Mandibular_anonymous_003-007-1147-00_1732601448785_Mandibular_View.jpg,1,79.320915,368.8352,453.97522,699.0763,0.905399739742279,18,2,2,2
no_retractors_Mandibular_anonymous_003-007-1147-00_1732601448785_Mandibular_View.jpg,2,1825.5571,145.80748,2182.4377,456.52103,0.8994325399398804,18,10,10,10
no_retractors_Mandibular_anonymous_003-007-1147-00_1732601448785_Mandibular_View.jpg,3,1779.1901,411.24435,2164.9202,746.87585,0.79916912317276,18,4,4,4
no_retractors_Mandibular_anonymous_003-007-1237-00_1732950198369_Mandibular_View.jpg,0,1850.4064,369.96375,2241.9583,736.6171,0.9054563641548157,15,1,1,1
no_retractors_Mandibular_anonymous_003-007-1237-00_1732950198369_Mandibular_View.jpg,1,1955.6272,75.81387,2311.1333,427.2676,0.9004644751548767,15,7,7,7
no_retractors_Mandibular_anonymous_003-007-1237-00_1732950198369_Mandibular_View.jpg,2,113.117516,434.02893,495.13974,796.0999,0.8936055898666382,15,0,0,0
no_retractors_Mandibular_anonymous_003-007-1239-00_1732953329744_Mandibular_View.jpg,0,1779.5304,112.487625,2130.5835,467.2877,0.9292640686035156,14,10,10,10
no_retractors_Mandibular_anonymous_003-007-1239-00_1732953329744_Mandibular_View.jpg,1,32.91828,201.27998,391.37845,574.2355,0.9259626865386963,14,13,13,13
no_retractors_Mandibular_anonymous_003-007-1239-00_1732953329744_Mandibular_View.jpg,2,1720.995,427.4429,2097.243,803.52924,0.9245896935462952,14,0,0,0
no_retractors_Mandibular_anonymous_003-007-1239-00_1732953329744_Mandibular_View.jpg,3,153.70496,491.41275,563.5252,914.8692,0.8700594902038574,14,4,4,4
no_retractors_Mandibular_anonymous_003-007-1263-00_1733124846881_Mandibular_View.jpg,0,290.41998,579.691,698.86646,998.0676,0.9264929294586182,14,2,2,2
no_retractors_Mandibular_anonymous_003-007-1263-00_1733124846881_Mandibular_View.jpg,1,1990.873,413.46732,2430.3123,814.9087,0.8932235240936279,14,3,3,3
no_retractors_Mandibular_anonymous_003-007-1303-00_1733387722479_Mandibular_View.jpg,0,2071.8833,218.22751,2478.9355,587.9701,0.9176375269889832,14,6,6,6
no_retractors_Mandibular_anonymous_003-007-1303-00_1733387722479_Mandibular_View.jpg,1,42.866657,259.2513,419.415,629.55005,0.9068489074707031,14,9,9,9
no_retractors_Mandibular_anonymous_003-007-1303-00_1733387722479_Mandibular_View.jpg,2,74.854935,573.21136,502.30063,960.871,0.8574536442756653,14,1,1,1
no_retractors_Mandibular_anonymous_003-007-1303-00_1733387722479_Mandibular_View.jpg,3,1996.257,542.5684,2446.9133,969.0052,0.5971575975418091,14,0,0,0
no_retractors_Mandibular_anonymous_003-007-1340-00_1733554137729_Mandibular_View.jpg,0,1842.7728,114.36991,2229.1118,461.0515,0.9253240823745728,14,10,10,10
no_retractors_Mandibular_anonymous_003-007-1340-00_1733554137729_Mandibular_View.jpg,1,121.43943,561.156,515.5075,920.3725,0.9192236661911011,14,3,3,3
no_retractors_Mandibular_anonymous_003-007-1340-00_1733554137729_Mandibular_View.jpg,2,64.43228,298.56036,439.67307,628.9716,0.9166738390922546,14,6,6,6
no_retractors_Mandibular_anonymous_003-007-1340-00_1733554137729_Mandibular_View.jpg,3,1774.3691,413.76868,2191.0874,771.277,0.9095896482467651,14,1,1,1
no_retractors_Mandibular_anonymous_003-007-1340-00_1733554137729_Mandibular_View.jpg,4,216.61024,832.43945,545.03046,1119.8823,0.8787270784378052,14,0,0,0
no_retractors_Mandibular_anonymous_003-007-1340-00_1733554137729_Mandibular_View.jpg,5,1752.9952,705.81805,2094.4863,989.6677,0.8258773684501648,14,4,4,4
no_retractors_Mandibular_anonymous_003-007-1342-00_1733555666542_Mandibular_View.jpg,0,64.338165,436.437,447.9902,803.54156,0.9116398096084595,13,5,5,5
no_retractors_Mandibular_anonymous_003-007-1361-00_1733724284664_Mandibular_View.jpg,0,265.6842,528.882,557.53723,882.07715,0.9181597828865051,14,6,6,6
no_retractors_Mandibular_anonymous_003-007-1361-00_1733724284664_Mandibular_View.jpg,1,1722.9138,37.29308,2057.9062,377.71097,0.4718877971172333,14,7,7,7
no_retractors_Mandibular_anonymous_003-007-1361-00_1733724284664_Mandibular_View.jpg,2,1646.7023,367.62125,2029.8334,764.3505,0.4135313034057617,14,3,3,3
no_retractors_Mandibular_anonymous_003-007-1384-00_1733810523480_Mandibular_View.jpg,0,84.672554,496.00842,524.60803,878.91156,0.9213037490844727,14,2,2,2
no_retractors_Mandibular_anonymous_003-007-1384-00_1733810523480_Mandibular_View.jpg,1,2113.6794,177.41206,2528.2595,487.458,0.9107935428619385,14,12,12,12
